Statistics for AC 12kWh Charger (0-20%):
--------------------------------------
Start Time: 626.090752, Charging Time: 59.319986
Start Time: 619.339583, Charging Time: 67.100917
Start Time: 673.513891, Charging Time: 20.685031
Start Time: 656.438197, Charging Time: 40.574056
Start Time: 649.994190, Charging Time: 57.005380
Start Time: 656.032346, Charging Time: 58.082345
Start Time: 669.681374, Charging Time: 49.100446
Start Time: 705.007565, Charging Time: 18.395429
Start Time: 684.122993, Charging Time: 43.827716
Start Time: 731.054274, Charging Time: 2.232983
Start Time: 697.527873, Charging Time: 42.391856
Start Time: 694.147243, Charging Time: 46.610051
Start Time: 670.991750, Charging Time: 70.837140
Start Time: 688.599964, Charging Time: 57.258736
Start Time: 738.462724, Charging Time: 15.878706
Start Time: 745.213212, Charging Time: 13.157386
Start Time: 698.609854, Charging Time: 60.116028
Start Time: 741.230708, Charging Time: 31.373502
Start Time: 713.829597, Charging Time: 59.398753
Start Time: 726.964858, Charging Time: 51.525671
Start Time: 769.838976, Charging Time: 16.074237
Start Time: 728.392137, Charging Time: 63.779652
Start Time: 814.346370, Charging Time: 9.199228
Start Time: 805.769869, Charging Time: 22.836248
--------------------------------------
Average Charging Time: 34.415962 mins
======================================
Statistics for AC 22kWh Charger (0-20%):
--------------------------------------
Start Time: 5.902582, Charging Time: 13.244641
Start Time: 9.255665, Charging Time: 12.152175
Start Time: 8.913730, Charging Time: 14.965719
Start Time: 8.966105, Charging Time: 18.376044
Start Time: 15.008077, Charging Time: 14.520967
Start Time: 25.520014, Charging Time: 17.055875
Start Time: 42.496606, Charging Time: 2.711511
Start Time: 65.474028, Charging Time: 24.478198
Start Time: 58.762247, Charging Time: 33.604127
Start Time: 81.501870, Charging Time: 20.715469
Start Time: 86.427657, Charging Time: 22.845457
Start Time: 105.375812, Charging Time: 5.012881
Start Time: 93.392088, Charging Time: 22.471931
Start Time: 113.200246, Charging Time: 10.143786
Start Time: 104.036776, Charging Time: 20.031422
Start Time: 92.273564, Charging Time: 36.937726
Start Time: 154.085112, Charging Time: 4.664533
Start Time: 138.196836, Charging Time: 21.777272
Start Time: 151.500578, Charging Time: 10.422863
Start Time: 136.938421, Charging Time: 25.307509
Start Time: 135.879630, Charging Time: 33.473670
Start Time: 157.014396, Charging Time: 17.683187
Start Time: 157.521490, Charging Time: 26.621667
Start Time: 159.439214, Charging Time: 34.680503
Start Time: 185.207805, Charging Time: 12.582744
Start Time: 185.429017, Charging Time: 27.126459
Start Time: 196.997191, Charging Time: 22.335738
Start Time: 206.754412, Charging Time: 16.291621
Start Time: 214.401361, Charging Time: 10.588632
Start Time: 213.959996, Charging Time: 15.517905
Start Time: 194.691047, Charging Time: 35.681650
Start Time: 222.227293, Charging Time: 14.475299
Start Time: 232.822890, Charging Time: 8.275265
Start Time: 220.575306, Charging Time: 29.339187
Start Time: 222.584987, Charging Time: 28.363230
Start Time: 243.933883, Charging Time: 13.689456
Start Time: 249.657659, Charging Time: 21.189633
Start Time: 272.436649, Charging Time: 3.453463
Start Time: 238.914099, Charging Time: 37.121582
Start Time: 266.147714, Charging Time: 15.261399
Start Time: 287.050978, Charging Time: 4.029990
Start Time: 276.620599, Charging Time: 25.765984
Start Time: 276.562647, Charging Time: 26.932325
Start Time: 275.613616, Charging Time: 27.881680
Start Time: 268.804722, Charging Time: 35.713267
Start Time: 295.639464, Charging Time: 18.393812
Start Time: 294.780760, Charging Time: 20.647073
Start Time: 313.956461, Charging Time: 2.297653
Start Time: 306.122377, Charging Time: 20.740194
Start Time: 296.558160, Charging Time: 32.657134
Start Time: 309.575564, Charging Time: 20.302226
Start Time: 302.701792, Charging Time: 27.730389
Start Time: 325.509773, Charging Time: 5.588590
Start Time: 324.136770, Charging Time: 10.386833
Start Time: 306.532251, Charging Time: 38.869776
Start Time: 321.172719, Charging Time: 27.047157
Start Time: 334.412696, Charging Time: 15.977906
Start Time: 334.921238, Charging Time: 24.881821
Start Time: 353.002107, Charging Time: 19.592842
Start Time: 378.950973, Charging Time: 0.296363
Start Time: 377.431081, Charging Time: 17.658526
Start Time: 363.837154, Charging Time: 34.930356
Start Time: 399.024857, Charging Time: 3.498205
Start Time: 390.417310, Charging Time: 21.184725
Start Time: 397.236495, Charging Time: 24.014879
Start Time: 431.881771, Charging Time: 2.349464
Start Time: 402.576302, Charging Time: 35.043251
Start Time: 427.790119, Charging Time: 19.496342
Start Time: 430.095955, Charging Time: 27.340919
Start Time: 446.473944, Charging Time: 15.371325
Start Time: 453.746306, Charging Time: 8.196430
Start Time: 453.116671, Charging Time: 16.777427
Start Time: 448.480053, Charging Time: 27.872082
Start Time: 443.746046, Charging Time: 35.679338
Start Time: 446.777135, Charging Time: 33.832887
Start Time: 476.097603, Charging Time: 6.538486
Start Time: 473.374908, Charging Time: 10.991067
Start Time: 467.099181, Charging Time: 27.689612
Start Time: 483.627646, Charging Time: 13.574164
Start Time: 484.498106, Charging Time: 13.149057
Start Time: 478.232727, Charging Time: 22.253965
Start Time: 463.590253, Charging Time: 38.351563
Start Time: 480.189791, Charging Time: 23.452059
Start Time: 483.420535, Charging Time: 20.752364
Start Time: 506.855920, Charging Time: 5.538563
Start Time: 512.908192, Charging Time: 1.869105
Start Time: 514.560277, Charging Time: 5.536709
Start Time: 512.067331, Charging Time: 9.877115
Start Time: 503.425469, Charging Time: 18.882794
Start Time: 503.558044, Charging Time: 23.120289
Start Time: 518.068401, Charging Time: 13.159255
Start Time: 505.969312, Charging Time: 36.016107
Start Time: 518.276318, Charging Time: 38.966687
Start Time: 533.548070, Charging Time: 24.550757
Start Time: 559.447647, Charging Time: 1.665607
Start Time: 563.359477, Charging Time: 13.864863
Start Time: 562.189269, Charging Time: 29.029513
Start Time: 559.168413, Charging Time: 37.206120
Start Time: 569.623090, Charging Time: 31.961744
Start Time: 568.453761, Charging Time: 37.190213
Start Time: 602.380628, Charging Time: 3.580912
Start Time: 584.300046, Charging Time: 32.341697
Start Time: 596.383552, Charging Time: 23.053524
