Statistics for AC 11kWh Charger (0-20%):
--------------------------------------
Start Time: 573.204924, Charging Time: 38.915310
Start Time: 588.477342, Charging Time: 24.568351
Start Time: 596.243355, Charging Time: 19.157072
Start Time: 609.846087, Charging Time: 8.909906
Start Time: 595.528598, Charging Time: 27.340919
Start Time: 613.478038, Charging Time: 10.965329
Start Time: 596.845759, Charging Time: 29.414419
Start Time: 596.960212, Charging Time: 29.458415
Start Time: 605.957180, Charging Time: 21.131396
Start Time: 613.524144, Charging Time: 14.264646
Start Time: 620.617383, Charging Time: 7.292585
Start Time: 598.714066, Charging Time: 32.121989
Start Time: 602.323514, Charging Time: 29.551404
Start Time: 628.003245, Charging Time: 4.164609
Start Time: 602.099098, Charging Time: 30.983858
Start Time: 617.634774, Charging Time: 17.683700
Start Time: 615.800333, Charging Time: 20.398957
Start Time: 602.419107, Charging Time: 33.785265
Start Time: 616.144772, Charging Time: 21.811665
Start Time: 606.426166, Charging Time: 31.915409
Start Time: 626.459291, Charging Time: 12.124039
Start Time: 630.322385, Charging Time: 11.010766
Start Time: 637.104480, Charging Time: 4.578511
Start Time: 613.224226, Charging Time: 31.451556
Start Time: 634.065014, Charging Time: 12.887891
Start Time: 633.554094, Charging Time: 14.037470
Start Time: 626.010831, Charging Time: 22.142838
Start Time: 613.981649, Charging Time: 35.679338
Start Time: 646.332947, Charging Time: 4.003968
Start Time: 623.262496, Charging Time: 30.522009
Start Time: 642.611644, Charging Time: 12.562521
Start Time: 619.191562, Charging Time: 37.606476
Start Time: 654.379410, Charging Time: 10.991067
Start Time: 647.962811, Charging Time: 20.087353
Start Time: 642.305349, Charging Time: 26.193710
Start Time: 642.448477, Charging Time: 28.088875
Start Time: 645.648592, Charging Time: 28.694841
Start Time: 648.614922, Charging Time: 28.546196
Start Time: 662.269649, Charging Time: 17.041503
Start Time: 641.512229, Charging Time: 38.351563
Start Time: 668.355866, Charging Time: 12.030034
Start Time: 678.067748, Charging Time: 3.318944
Start Time: 677.169007, Charging Time: 5.695892
Start Time: 660.002722, Charging Time: 24.005551
Start Time: 656.279150, Charging Time: 28.070675
Start Time: 647.129975, Charging Time: 37.429992
Start Time: 672.142351, Charging Time: 12.694216
Start Time: 656.659295, Charging Time: 28.204705
Start Time: 655.245916, Charging Time: 30.282601
Start Time: 677.198724, Charging Time: 8.870340
Start Time: 658.331132, Charging Time: 30.345619
Start Time: 650.286403, Charging Time: 38.783173
Start Time: 687.738006, Charging Time: 4.126238
Start Time: 666.956715, Charging Time: 25.247143
Start Time: 694.542258, Charging Time: 0.785686
Start Time: 682.197419, Charging Time: 13.414577
Start Time: 684.383254, Charging Time: 12.435930
Start Time: 663.002996, Charging Time: 34.248324
Start Time: 661.946369, Charging Time: 38.917049
Start Time: 679.609427, Charging Time: 24.248636
Start Time: 709.536495, Charging Time: 1.869105
Start Time: 696.669362, Charging Time: 15.794695
Start Time: 686.818987, Charging Time: 27.133085
Start Time: 705.473109, Charging Time: 9.169502
Start Time: 686.183293, Charging Time: 29.460481
Start Time: 714.556253, Charging Time: 1.241208
Start Time: 701.989864, Charging Time: 14.184129
Start Time: 708.322076, Charging Time: 16.797099
Start Time: 694.661336, Charging Time: 33.725455
Start Time: 697.542524, Charging Time: 36.016107
Start Time: 705.546684, Charging Time: 30.771732
Start Time: 734.545520, Charging Time: 5.456828
Start Time: 706.712241, Charging Time: 37.466394
Start Time: 740.334004, Charging Time: 7.681880
Start Time: 719.473841, Charging Time: 31.505911
Start Time: 720.990859, Charging Time: 30.940757
Start Time: 735.868086, Charging Time: 19.516770
Start Time: 739.160186, Charging Time: 17.336916
Start Time: 749.427593, Charging Time: 10.649638
Start Time: 755.148461, Charging Time: 7.984820
Start Time: 725.133568, Charging Time: 38.212190
Start Time: 749.366390, Charging Time: 21.899792
Start Time: 769.575749, Charging Time: 1.950023
Start Time: 744.121367, Charging Time: 27.405590
Start Time: 749.068827, Charging Time: 26.097620
Start Time: 762.452449, Charging Time: 17.800701
Start Time: 758.529110, Charging Time: 26.418425
Start Time: 754.663930, Charging Time: 34.174791
Start Time: 775.479197, Charging Time: 13.889457
Start Time: 755.496504, Charging Time: 34.293181
Start Time: 759.000818, Charging Time: 33.076701
Start Time: 790.502282, Charging Time: 6.682621
Start Time: 789.612111, Charging Time: 9.295538
Start Time: 779.352738, Charging Time: 22.469667
Start Time: 801.512399, Charging Time: 2.814017
Start Time: 785.548892, Charging Time: 18.865441
Start Time: 774.648771, Charging Time: 33.129862
Start Time: 791.268278, Charging Time: 16.857119
Start Time: 780.384057, Charging Time: 31.961744
Start Time: 803.936342, Charging Time: 10.438689
Start Time: 778.212931, Charging Time: 37.270822
Start Time: 779.008283, Charging Time: 37.190213
Start Time: 782.155730, Charging Time: 36.615111
Start Time: 819.041761, Charging Time: 1.527188
Start Time: 820.002059, Charging Time: 4.784811
Start Time: 797.174102, Charging Time: 28.375820
Start Time: 821.526101, Charging Time: 8.468097
Start Time: 822.781829, Charging Time: 7.778297
Start Time: 815.630852, Charging Time: 15.354783
Start Time: 821.735859, Charging Time: 16.353485
Start Time: 833.233678, Charging Time: 5.663189
Start Time: 826.979838, Charging Time: 14.268340
Start Time: 827.815804, Charging Time: 13.918988
Start Time: 836.958586, Charging Time: 7.757673
Start Time: 819.248679, Charging Time: 25.896496
Start Time: 830.451285, Charging Time: 14.739253
Start Time: 838.830543, Charging Time: 8.176289
Start Time: 813.404758, Charging Time: 35.020647
Start Time: 824.943441, Charging Time: 26.582305
Start Time: 833.449994, Charging Time: 19.131023
Start Time: 837.601776, Charging Time: 15.003593
Start Time: 821.483182, Charging Time: 32.224831
Start Time: 838.063612, Charging Time: 18.338636
Start Time: 838.062548, Charging Time: 26.142752
Start Time: 831.780652, Charging Time: 35.489771
Start Time: 830.527635, Charging Time: 36.801884
Start Time: 833.522908, Charging Time: 36.405075
Start Time: 960.673979, Charging Time: 25.779001
Start Time: 988.618074, Charging Time: 2.918902
Start Time: 964.893983, Charging Time: 32.401673
Start Time: 981.935330, Charging Time: 30.085237
Start Time: 1000.019184, Charging Time: 17.469887
Start Time: 1035.510335, Charging Time: 24.034433
Start Time: 1070.185925, Charging Time: 6.687522
Start Time: 1105.158306, Charging Time: 6.555024
Start Time: 1091.332871, Charging Time: 20.620350
Start Time: 1095.650814, Charging Time: 28.389891
Start Time: 1113.540399, Charging Time: 16.088391
Start Time: 1118.624087, Charging Time: 22.157439
Start Time: 1136.149552, Charging Time: 15.859119
Start Time: 1151.438107, Charging Time: 8.349266
Start Time: 1146.785788, Charging Time: 27.358918
Start Time: 1165.136355, Charging Time: 30.242282
Start Time: 1209.621797, Charging Time: 22.162300
Start Time: 1205.527257, Charging Time: 31.725651
Start Time: 1227.566138, Charging Time: 16.974532
Start Time: 1232.302453, Charging Time: 17.328117
Start Time: 1292.338453, Charging Time: 15.158658
Start Time: 1277.064471, Charging Time: 34.516181
Start Time: 1310.737283, Charging Time: 1.783586
Start Time: 1310.875076, Charging Time: 10.157051
Start Time: 1335.286766, Charging Time: 5.208481
Start Time: 1348.891996, Charging Time: 15.460946
Start Time: 1337.950555, Charging Time: 38.692555
Start Time: 1364.157980, Charging Time: 28.156259
Start Time: 1384.121923, Charging Time: 16.877282
--------------------------------------
Average Charging Time: 20.176438 mins
======================================
Statistics for DC 50kWh Charger (0-20%):
--------------------------------------
Start Time: 4.211606, Charging Time: 17.188357
Start Time: 2.166825, Charging Time: 24.256825
Start Time: 14.030958, Charging Time: 21.082606
Start Time: 11.408514, Charging Time: 30.077494
Start Time: 42.785003, Charging Time: 0.597053
